category_key,classification_code,classification_description,award_item_count,buyer_count,supplier_count,total_category_amount_pen,attributable_amount_pen,attributable_amount_coverage_pct,top1_share_pct,top3_share_pct,top5_share_pct,top10_share_pct,hhi,effective_supplier_count,is_analysis_eligible,average_ticket,component_market_size,component_frequency,component_buyer_breadth,component_average_ticket,component_market_openness,score_baseline,rank_baseline,score_demand_heavy,rank_demand_heavy,score_accessibility_heavy,rank_accessibility_heavy,score_balanced_equal,rank_balanced_equal,opportunity_band,scenario_score_range,maximum_absolute_rank_shift
3324,72141107,Servicios de construcción y reparación de puentes,87,53,87,145202614.27000000000000,145202614.27000000000000,100.000000,3.433858,9.542497,14.523616,25.924185,159.009435,62.889350,True,1668995.566321839,98.83720930232558,97.67441860465117,93.02325581395348,91.86046511627907,100.0,96.56976744186048,1,97.09302325581395,1,96.86046511627907,1,96.27906976744187,1,HIGHER_RELATIVE,0.8139534883720785,0
3326,72141121,Servicios de construcción de tuberías principales de agua,64,59,64,105198670.08000000000000,105198670.08000000000000,100.000000,12.073374,26.068236,34.435485,52.189145,432.014810,23.147355,True,1643729.22,96.51162790697674,92.44186046511628,95.34883720930233,90.69767441860465,91.86046511627907,93.8953488372093,2,94.2732558139535,2,93.63372093023257,2,93.37209302325581,2,HIGHER_RELATIVE,0.9011627906976827,0
3374,72153102,Servicios de construcción de campos deportivos interiores,76,61,76,72151714.08000000000000,72151714.08000000000000,100.000000,16.348360,33.085774,39.441613,50.815506,511.150378,19.563714,True,949364.6589473684,94.18604651162791,94.76744186046511,97.67441860465117,76.74418604651163,89.53488372093022,91.68604651162791,3,92.6453488372093,3,92.00581395348837,3,90.58139534883722,3,HIGHER_RELATIVE,2.0639534883720785,0
3319,72141003,Servicios de mantenimiento de pistas y carreteras,76,56,74,68486060.00000000000000,68486060.00000000000000,100.000000,9.187911,23.862824,35.733586,56.347509,423.768336,23.597799,True,901132.3684210526,93.02325581395348,94.76744186046511,94.18604651162791,74.4186046511628,93.02325581395348,90.81395348837209,4,91.77325581395348,4,91.71511627906976,4,89.88372093023257,4,HIGHER_RELATIVE,1.8895348837209127,0
3307,72121406,Servicios de construcción de escuelas,52,45,52,74180828.60000000000000,74180828.60000000000000,100.000000,18.827645,34.227853,44.238365,60.579464,644.136304,15.524664,True,1426554.396153846,95.34883720930233,88.37209302325581,90.69767441860465,87.20930232558139,87.20930232558139,90.5813953488372,5,91.27906976744188,5,89.88372093023256,6,89.76744186046511,5,HIGHER_RELATIVE,1.51162790697677,1
2453,15101505,Diesel,127,107,102,31555671.22000000000000,31555671.22000000000000,100.000000,14.361325,24.876742,34.488737,50.053968,405.717030,24.647721,True,248469.85212598424,88.37209302325581,100.0,100.0,46.51162790697674,94.18604651162791,87.61627906976744,6,89.4186046511628,6,90.58139534883722,5,85.8139534883721,7,HIGHER_RELATIVE,4.767441860465112,2
3329,72141128,Servicio de remodelación  y/o construcción de plazas públicas,39,32,39,43371488.97000000000000,43371488.97000000000000,100.000000,8.048573,23.144570,34.869089,55.213440,436.597816,22.904375,True,1112089.4607692307,90.69767441860465,85.46511627906976,83.72093023255815,81.3953488372093,90.69767441860465,86.86046511627907,7,87.41279069767441,7,87.23837209302324,7,86.3953488372093,6,HIGHER_RELATIVE,1.0174418604651123,1
3317,72141001,Servicios de construcción de pistas y carreteras nuevas,39,34,39,505075549.99000000000000,505075549.99000000000000,100.000000,50.632905,89.543685,91.344951,94.271546,4009.953981,2.493794,True,12950655.127948718,100.0,85.46511627906976,86.04651162790698,100.0,18.604651162790702,82.09302325581396,8,86.13372093023256,8,69.91279069767441,20,78.0232558139535,10,HIGHER_RELATIVE,16.220930232558146,12
3520,81101508,Ingeniería arquitectónica,77,60,75,15700018.24000000000000,15700018.24000000000000,100.000000,7.006361,15.493649,21.585052,35.358725,230.643877,43.356885,True,203896.34077922077,74.4186046511628,96.51162790697674,96.51162790697674,37.2093023255814,97.67441860465117,81.16279069767441,9,81.86046511627907,9,86.51162790697674,8,80.46511627906978,8,HIGHER_RELATIVE,6.046511627906966,1
3505,80131502,Alquiler de instalaciones comerciales o industriales,57,43,55,21286266.77571362120233,21286266.77571362120233,99.999999,22.831622,52.613256,60.115745,72.112210,1108.152981,9.024025,True,373443.2767669056,80.23255813953489,90.69767441860465,89.53488372093024,56.97674418604651,77.90697674418604,80.34883720930233,10,81.68604651162791,10,81.1046511627907,10,79.06976744186048,9,HIGHER_RELATIVE,2.6162790697674296,1
